,text
333_pop_pop,"\n\nFalta de perspectiva de género y enfoque interseccional dentro del procedimiento de administración de justicia.\n\nTodos los órganos que ejercen jurisdicción y todos aquellos que formen parte del proceso de administración de justicia, tanto los que se encuentran dentro del poder judicial como fuera de él, presentan una ausencia de perspectiva de género y enfoque interseccional en el ejercicio de la jurisdicción y la administración de justicia,\nlo que ha significado una barrera en el acceso a la justicia para mujeres y disidencias.\n\nLa falta de perspectiva de género tiene efectos dramáticos en la vida cotidiana de las mujeres. Provoca que,\npor ejemplo, mujeres sean cuestionadas al momento de presentar una denuncia ante las policías o reciban un trato denigrante o revictimizante al declarar en juicio. La sumatoria de todas estas situaciones genera que mujeres y disidencias no puedan acceder a la justicia bajo las mismas condiciones que el resto de los ciudadanos, lo que, además, impide la realización de otros derechos.\n\nLa incorporación del enfoque de género, tanto en la formación inicial de los operadores de justicia y sujetos procesales en todos los niveles, como la capacitación constante, obligatoria y de calidad, permitirá combatir los estereotipos de género y la cultura judicial permeada por el machismo, pues al ser conscientes de las necesidades y dificultades de cada grupo, se estaría otorgando justicia sin discriminación y al mismo tiempo,\ndando cumplimiento a los tratados internacionales que obligan al Estado de Chile, a sus interpretaciones y las recomendaciones realizadas por órganos internacionales de derechos humanos.\n\nSituación Ideal\n\nLa situación ideal es que los órganos que ejercen jurisdicción, auxiliares de la administración de justicia,\nabogadas/os y sujetos procesales en general, actúen, en todos sus estamentos, sus etapas y sus funciones con perspectiva de género y bajo un enfoque interseccional, ya sea en el trato con usuarios, como en el análisis y fallo de cada caso, siendo parte de su mandato general, sus obligaciones específicas y parte de la cultura, un actuar sin estereotipos de género y un desempeño de acuerdo a estándares internacionales en materia de género y derechos humanos.\n\n\xc2\xbfQué cambiaría? La perspectiva con la que funcionarias y funcionarios se desempeñan en sus labores,\npermitiendo el acceso a la justicia sin discriminación, eliminando los sesgos y estereotipos de género, y otorgando una atención que tenga en consideración los diferentes factores que impactan en la vida de las personas, con un enfoque interseccional y de acuerdo a la debida diligencia y debido proceso; reflejándose en su trabajo diario la incorporación de perspectiva de género dentro de la cultura organizacional de la administración de la justicia en cada una de sus etapas.\n\n\xc2\xbfCómo cambiaría? Se realizarán a todos y todas las funcionarias y funcionarios, sin distinción y a todos los estamentos, capacitaciones y formación obligatoria y constante en materia de género y derechos humanos,\nincorporando el deber funcionario de tratamiento de personas y casos, con perspectiva de género y enfoque interseccional, y aplicando los principios de debido proceso y debida diligencia. Para esto es necesaria la medición y monitoreo de la aplicación del conocimiento adquirido.\n\n\xc2\xbfBeneficiadas/os/es? Todas y todos aquellos que requirieran de órganos, instituciones y del actuar de funcionarios que participan dentro de la administración de justicia, así como quienes trabajan en estas instituciones y órganos.\n\nQué debe contemplar la nueva constitución\n\nIncluir un mandato transversal de incorporación de perspectiva de género con enfoque interseccional y de derechos humanos en todo órgano que ejerza jurisdicción y, en general, de todo órgano que participe de la administración de justicia.\n\nEste mandato será extensivo a los 1) órganos que ejercen jurisdicción, 2) auxiliares de la administración de justicia, tales como defensores públicos, consejeros técnicos, fiscalía judicial, entre otros; y 3) sujetos procesales, tales como Ministerio público, policías, defensoría penal pública, entre otros.\n\nAsimismo, una norma que busca esta finalidad debe incorporar conceptos e instituciones como Perspectiva de Género, Enfoque Interseccional, Debida Diligencia, Derechos Humanos, No Discriminación, Estereotipos de Género, Debido Proceso y Acceso a la Justicia. \n\nEl Chile que soñamos como ABOFEM es uno en que no existan barreras de acceso a la justicia para mujeres y disidencias, así como también se incorpore un enfoque de género con perspectiva interseccional en todas las etapas y en todos los procesos de administración de justicia con independencia de la naturaleza de los mismos (civil, penal, constitucional, administrativo, laboral, familia, y otros).\n\nArgumentos para respaldar la propuesta\n\nLa Corte Interamericana de Derechos Humanos en el año 2012, en el llamado caso Atala v/s Chile, ordenó que el Estado debe continuar implementando, en un plazo razonable, programas y cursos permanentes de educación y capacitación dirigidos a funcionarios públicos a nivel regional y nacional y particularmente a funcionarios judiciales de todas las áreas y escalafones de la rama judicial en materia de no discriminiación.\n\nPor su parte, el séptimo informe de observaciones finales CEDAW a Chile, el año 2018, al referirse al acceso a la justicia, identificó prácticas institucionales, de procedimiento y los obstáculos que enfrentan las mujeres para el ejercicio de este derecho, entre ellos ""los estereotipos discriminatorios, la parcialidad judicial y conocimiento limitado de los derechos de la mujer entre los miembros del poder judicial, abogados y funcionarios encargados de hacer cumplir la ley, incluida la policía."" \n\nLo anterior son solo algunos de los múltiples pronunciamientos que los órganos internacionales en materia de derechos humanos le han realizado a nuestro país para la incorporación del enfoque de género y no discriminación en la administración de justicia. \n\nLamentablemente, aún se mantienen sesgos en el acceso a la judicatura y estereotipos de género, sobre todo en casos que dicen relación con violencia de género y actos de odio en contra de disidencias, por la presencia de estereotipos y prejuicios que condicionan la investigación y la resolución de los casos sometidos a la justicia.\n\nReseña sobre quién o quiénes proponen y la historia de la elaboración de la iniciativa\n\nSomos una organización de la sociedad civil, que lucha por la incorporación del enfoque de género en el derecho. De la mano de abogadas y licenciadas en derecho voluntarias a lo largo del país, hemos trabajado sin cansancio por la defensa de mujeres y disidencia, combatir las barreras para el acceso a la justicia y democratizar el conocimiento jurídico. \nEs a partir de esta experiencia y la de cada voluntaria a nivel individual que identificamos la necesidad urgente de modificar las estructuras que violentan a las mujeres, por lo que a través del trabajo colaborativo elaboramos esta propuesta.\n\nArticulado de la Iniciativa Popular de Norma\n\nArtículo XX\nLa administración de justicia deberá ejercerse con perspectiva de género y bajo un enfoque interseccional y de derechos humanos, sin discriminación, velando por la observancia e incorporación de los estándares de debida diligencia y debido proceso en su ejercicio. \n\nEste mandato será extensivo a todo órgano jurisdiccional, a todo auxiliar de la administración de justicia y, en general, a todo sujeto procesal y funcionarios y funcionarias que se desempeñen dentro del ciclo de administración de justicia. Asimismo, deberá observarse en todas las etapas y procesos de administración de justicia, con independencia de su naturaleza.\n\nEl Estado deberá tomar todas las medidas necesarias, en particular la formación inicial y capacitación constante de todos los operadores de justicia, a fin de eliminar estereotipos de género e incorporar una perspectiva de género con enfoque interseccional en todos los aspectos del sistema y de la administración de justicia.\n\nLos funcionarios y funcionarias que se desempeñen dentro del ciclo de administración de justicia deberán ejercer las labores de su cargo incorporando este mandato, durante todo el curso del proceso y en todas las actuaciones que realicen.\n\nUna ley regulará la forma en que cada órgano incorporará este mandato a sus funciones, las obligaciones que sus funcionarios y funcionarias deberán asumir, la fiscalización del cumplimiento de este mandato y las vías de reclamación por su incumplimiento.\n\n"
343_pop_pop,"\n\nExisten múltiples expresiones de creencias y religiones que dan cuenta de una sociedad pluralista y diversa. Así, la nueva constitución debe reconocer, asegurar y promover el desarrollo de cada una de estas expresiones, como un derecho humano. Se propone un texto que abarca el más amplio espectro sobre la base de la libertad y el desarrollo de la persona individual y colectivamente considerada. Aunque se cuente con históricos avances de la separación Iglesia - Estado y normas de libertad de culto, aún existe una zona de desprotección de la conciencia y respeto a expresiones de fe de minorías religiosas; entonces, se presentan conflictos entre objetores de conciencia con instituciones públicas y privadas. A esto se agrega la existencia de actos delictuales contra símbolos y templos. El ordenamiento vigente no tiene un mecanismo general que permita reconciliar la contradicción que se presenta en el fuero individual entre un deber jurídico y un imperativo de conciencia basado en propias convicciones éticas, filosóficas, morales o religiosas, teniendo que defenderse contra obligaciones legales que contradicen o constriñen sus genuinas convicciones. Consagrar la objeción de conciencia constituye un mecanismo coherente y eficaz para la defensa de las libertades individuales, visiones y estilos de vida propios en una sociedad diversa étnica y culturalmente. En una sociedad pluralista urgen medidas que faciliten la convivencia pacífica de los distintos idearios, donde el derecho a la objeción de conciencia es una alternativa a la fuerza y a la violencia, pues permite armonizar las distintas libertades aun cuando entran en tensión en situaciones que se plantean como insuperables en el fuero interno de un individuo; incluso en relación a la identidad esencial de una institución con ideario; se trata de un remedio razonable que permite de modo realista que nadie se vea perjudicado cuando las leyes no concuerden con sus convicciones\n\nSituación Ideal\n\nLa situación ideal que plantea esta propuesta, tiene como piedra angular el resguardo de la libertad de conciencia, religiosa y de culto de los ciudadanos en sus diversas expresiones; garantizando su ejercicio,\nindependiente de la creencia, espiritualidad o religión que pueda profesarse, y reconociendo como únicos límites la ley, necesarios en una sociedad democrática para proteger determinados intereses. Al mismo tiempo, propone contenido de núcleo esencial en lo relacionado con estas libertades incluyendo a las distintas minorías religiosas. Se propone un texto que garantice la protección de las libertades de conciencia, religiosa y de culto, en concordancia con la Declaración Universal de Derechos Humanos, con los Tratados internacionales sobre derechos humanos ratificados por Chile; con la Declaración de\nEliminación de todas las formas de Intolerancia y Discriminación fundadas en la religión o las convicciones\n(Res 36/55 1981 UN); con la Protección de los derechos de minorías religiosas y étnicas (Res 47/135 1992\nUN); y con los objetivos de la UNESCO en cuanto a propender a la Diversidad cultural como medio de acceso a una existencia intelectual, afectiva, moral y espiritual satisfactoria (art 3 y 4 de Declaración\nUniversal UNESCO Diversidad Cultural, 2001); Promovemos que se explicite en la nueva constitución el derecho a objeción de conciencia, en concordancia con lo señalado por el Tribunal Constitucional (Rol\n3729-17) al declarar que la objeción de conciencia, esto es, el rechazo a una práctica o deber que pugna con las más íntimas convicciones de la persona es, precisamente, una manifestación de la libertad de conciencia asegurada en nuestra Constitución en su artículo 19 N 6; concepto en concordancia con la\nCarta de los Derechos Fundamentales de la UE, Artículo 10, 2. ""Se reconoce el derecho a la objeción de conciencia, de conformidad con las leyes nacionales que regulan el ejercicio de este derecho"".\n\nQué debe contemplar la nueva constitución\n\nProponemos que la nueva constitución, al regular la convivencia de la sociedad, considere a todas las personas, por lo cual el contenido de la propuesta incluye: \n-Reconocimiento de las minorías religiosas.\n-Reconocimiento de las espiritualidades de pueblos originarios como objeto de protección de la libertad religiosa. \n-La objeción de conciencia personal e institucional.\n-Libertad para observar el día de descanso semanal por convicción religiosa. \n-Reconocimiento del Estado del derecho preferente de los padres o tutores, para que sus hijos o pupilos reciban la educación espiritual y religiosa de acuerdo con sus propias creencias, y que el ejercicio de este derecho tenga su expresión en la educación formal. \n-Derecho a recibir asistencia espiritual en servicios residenciales hospitalarios, carcelarios, de larga estadía, militares reconocidos por el Estado, \n-Reconocimiento del Estado de prácticas ceremoniales de minorías religiosas cuyos derechos fundamentales deben ser protegidos, reconociéndoseles el derecho a una acomodación razonable.\n-Considerar que las creencias religiosas son convicciones de propósitos de vida respetables, que comunicadas en forma pacífica y con respeto a otras sensibilidades, no serán consideradas como discursos de odio.\n-Generar condiciones para que el Estado establezca formas de colaboración con las entidades religiosas en materias de bien común.\n\nArgumentos para respaldar la propuesta\n\nLa norma propuesta constituye un avance en la configuración de un sistema de garantías constitucionales que asegure con efectividad a todas y cada una de las personas el acceso a un goce pleno de las libertades que comprende el contenido del Derecho a la libertad de conciencia y de religión, a la luz del sistema universal de protección de los derechos fundamentales. La iniciativa enfatiza la necesidad de reconocer la pluralidad de la sociedad actual y de valorarla como un activo que toda sociedad democrática debe resguardar, particularmente en aspectos tan sensibles y fundamentales como la conciencia individual, la libertad de creencia y de pensamiento, resguardando la esencialidad de la dignidad humana en su dimensión espiritual. Es una fórmula que persigue asegurar una eficaz protección de todas las personas respecto del goce efectivo de estos derechos y libertades fundamentales, lo cual constituye un requisito esencial para la construcción de un real sistema democrático, pluralista y diverso,\nomnicomprensivo de la diversidad de creencias y pensamientos. La propuesta coloca el valor de la inclusión como uno de los aspectos más trascendentales en el contexto de la construcción de una comunidad que vela por garantizar a la totalidad de sus miembros el libre desarrollo de su personalidad y de los diversos y legítimos proyectos de vida. De esta forma, se asegura no solo un reconocimiento puramente formal de estas libertades, sino que se avanza hacia la remoción de todo tipo de discriminación que puede afectarlas, especialmente aquellas que por vía indirecta las restringen bajo la apariencia de una igualdad que termina siendo artificial. Por último, se persigue el establecimiento de garantías reales concernientes a la autodeterminación individual y colectiva en el ejercicio de estos derechos y libertades esenciales, que constituyan una verdadera limitación a la vulneración de la conciencia y a la manifestación de cualquier creencia.\n\nReseña sobre quién o quiénes proponen y la historia de la elaboración de la iniciativa\n\nLa Asociación Internacional para la Libertad Religiosa (IRLA por sus siglas en inglés International Religious\nLiberty Association, https://www.irla.org/)\nPrimera Iglesia Metodista Pentecostal de Chile\nConsejo Nacional de Obispos y Pastores Evangelicos de Chile\nIglesia Bautista del Séptimo Día de Chile\nComunidad Islámica de Chile\nIglesia de Jesucristo de los Santos de los \xc3\x9altimos Días\nIglesia Adventista del Séptimo Día\nIRLA inició un proceso de diálogo interreligioso con las Iglesias y entidades religiosas antes mencionadas y coordinó el trabajo de preparación y apoyo de la presente propuesta.\n\nArticulado de la Iniciativa Popular de Norma\n\nLa Constitución asegura a todas las personas:\n\nLa libertad de conciencia, religiosa y de culto. La libertad de conciencia, religiosa y de culto, en su núcleo esencial comprenden el derecho a tener o no convicciones, una religión o creencias religiosas, a declararlas como abstenerse de hacerlo, a formar libremente la propia conciencia, mantener, cambiar o abandonar las que se profesaban, la de actuar o no conforme a las mismas y de manifestarlas, individual o colectivamente, mediante la enseñanza, la práctica, el culto y la observancia, con plena inmunidad de coacción; la libertad de practicar en público o en privado, individual o colectivamente, actos de culto;\nrecibir asistencia religiosa de su propia confesión; conmemorar sus festividades; celebrar sus ritos;\nobservar su día de descanso semanal; recibir una sepultura digna, sin discriminación por razones religiosas. Son titulares de estas libertades, los individuos, así como las entidades, grupos o comunidades religiosas. \n\nLa libertad religiosa incluye las espiritualidades y cosmovisiones de pueblos originarios y minorías étnicas. \n\nEl derecho de objeción de conciencia. Nadie puede ser obligado a actuar contra su propia conciencia o ser sancionado por negarse a actuar contra su conciencia. Son titulares de este derecho las personas naturales y las jurídicas de tendencia con idearios éticos, filosóficos, morales, religiosos o políticos esenciales a su identidad. Los funcionarios públicos pueden ser objetores de conciencia cuando así lo autorice la ley. Los órganos de la Administración del Estado no pueden ser objetores de conciencia.\n\nLas limitaciones a las manifestaciones de la libertad de conciencia, al derecho de objeción de conciencia,\na la libertad religiosa y de culto sólo serán las que prescriba la ley, constituyan medidas necesarias, en una sociedad democrática, para la seguridad pública, la protección del orden público, de la salud pública o la protección de derechos o las libertades de los demás. El contenido de las creencias religiosas no podrá ser considerado como discurso de odio. \n\nNadie podrá ser amenazado, perturbado o privado en el ejercicio de sus convicciones, creencias o prácticas religiosas, reconociéndose el derecho a una acomodación razonable. \n\nTodas las entidades religiosas son iguales ante la ley, y se les reconoce su plena autonomía para el desarrollo de sus fines. El Estado puede establecer formas de colaboración con ellas en materias de bien común. \n\nEl Estado reconoce el derecho preferente de los padres o tutores, en su caso, para transmitir su religión y creencias religiosas a sus hijos o pupilos y a elegir la educación religiosa que esté de acuerdo con su propia religión o creencias religiosas. El Estado debe asegurar las condiciones para el ejercicio de este derecho, incluida su expresión en la educación formal.\n\n1.  PDF Comentario_MH_Denuncia_Anajure_y_Advocates_Chile_y_Anuario_Irla_Chile.pdf 2 mb\n\n"
538_pop_pop,\n\nSituación Ideal\n\n
404_pop_pop,"\n\nPrincipios\n2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía\n\nLa concepción actual de la familia (biparental, heterosexual y preferentemente casada) como el núcleo fundamental de la sociedad no permite reconocer la diversidad de formas en las que se agrupan las personas en distintos tipos de comunidades, dentro de las cuales, una es la familia. Creemos en una sociedad que reconozca múltiples formas de comunidades, más orgánicas, por cierto, en las que las personas puedan desarrollarse y experimentar distintos tipos de vínculos de reconocimiento afectivos, de amistad, laborales, comunitarios, sexuales, y de todo tipo.\nHaciendo esto, no sólo ampliaremos la figura de la familia como un espacio al cual todes en el país tenemos derecho a acceder y experimentar. Sino que, también, el reconocimiento de otro tipo de comunidades más allá del ""núcleo familiar"" propiciará un espacio de recomposición del tejido social, el cual se encuentra tan roto en el Chile actual tras el paso de una modernidad neoliberal y una dictadura cruentamente atomizadora.\nEn particular, el problema del exclusivo reconocimiento de la familia tradicional como núcleo de desarrollo de la persona trae problemas concretos para poblaciones específicas, como, por ejemplo, para las disidencias y diversidades sexo-genéricas, que pueden vivir violencias y dificultades con su identidad de género u orientación sexual incluso dentro de este espacio. A modo de ejemplo, según una encuesta aplicada a 1.203 personas LGBTIQA+ en Chile el año 2020 en pandemia, 51% y 52% declaró sentirse bastante o demasiado incómode o agobiade, respectivamente, con su familia por no poder expresar su orientación sexual o identidad de género diversa. Por esto es fundamental entender a la familia como un espacio de desarrollo tanto como lo son otras instituciones sociales, y no como la única forma de integrarse a la sociedad o al país.\nLas comunidades, siendo uniones u organizaciones que pueden o no tener lazos filiativos o sanguíneos,\nson formas válidas de convivir que, al no ser concebidas actu\n\nSituación Ideal\n\nLa situación ideal sería un reconocimiento de las comunidades que cohabitan en Chile, dentro de éstas las diversas formas de familia, y que estas últimas se reconozcan como igualmente legítimas y fundamentales para la construcción de la sociedad. Que este reconocimiento sea sustentado en derechos que permitan un desarrollo integral de todas las personas, sin importar los vínculos que deseen formar, ni tampoco su orientación sexual, características sexuales, identidad o expresión de género.\nLas comunidades y todos los tipos de familias deben estar en igualdad de derechos y ser protegidas integralmente por la ley, siendo respetadas y reconocidas en sus diferencias y sus características propias.\nLa vida en sociedad debiera fundarse en distintos tipos de vínculos colectivos, donde exista un amplio reconocimiento de las diferentes orgánicas que componen estos vínculos, permitiendo una sociedad más cohesionada, que se nutra y valore la diversidad de comunidades.\nAdemás, soñamos que se comprenda a la familia como una institución donde las personas puedan desarrollarse, siendo ésta considerada con igual importancia que otros espacios o formas de organización.\nDe esta manera estaríamos reconociendo y permitiendo que otros tipos de comunidades más orgánicas que, por su carácter comunitario, puedan hacer frente de manera más pertinente y efectiva a los desafíos de carácter global o sistémico que nos enfrenta la vida social y que sobrepasan el nivel familiar, por ejemplo, el cambio climático. Especial énfasis ponemos también como disidencias y diversidades sexuales en las niñeces, en este caso, las LGBTIAQ+ o con ma-padres disidentes o diverses, que cuenten con un espacio propicio para su desarrollo y que se vele por su bienestar tanto físico como emocional.\n\nQué debe contemplar la nueva constitución\n\nLa nueva Constitución debería incluir el reconocimiento y respeto de distintos tipos de comunidades que componen el tejido de la sociedad. Uno de estos tipos de comunidades es y ha sido históricamente la imagen de la familia, no obstante, a través del reconocimiento de una familia que no se limite ni a los lazos consanguíneos ni filiativos, estaremos abriendo esta importante institución a la gran diversidad de formas y manifestaciones que ésta puede tener y que existen al día de hoy. De esta forma avanzaremos hacia el cese de la discriminación de grupos que han quedado al margen de la familia, por razones culturales o legales, como la población LGBTIAQ+. Como, también, por otro lado, les daremos un espacio a una diversidad amplia y rica de comunidades que serán fundamentales en la recomposición del tejido social en\nChile y en el enfrentamiento de las problemáticas de carácter sistémico que enfrentamos el día de hoy y mañana.\n\nArgumentos para respaldar la propuesta\n\nSi bien, al revisar todos los textos constitucionales de Chile, no es apreciable la necesidad de un artículo que defina el o los núcleos esenciales de la sociedad y el Estado, estando presente este ánimo sólo en el\nReglamento Constitucional de 1812 y en la Constitución de 1980, es posible sostener que este ánimo el constituyente lo ha presentado en momentos refundacionales: al momento de inaugurar el autogobierno y al momento de interrumpir el curso de la historia, criminal y abruptamente, a través de la dictadura cívico-\nmilitar.\nPor ello, y atendiendo el indiscutible carácter constituyente del presente proceso, es importante comenzar la nueva Constitución mediante un artículo que contenga una caracterización filosófico-política del nuevo pacto social.\nEn atención a los valores expresados en el hecho social que le da vida al proceso y considerando los mismos principios que inspiran y dan forma al Reglamento, cuales son la participación, la inclusión, el respeto, la democracia, entre otros, es perfectamente coherente que esta norma dogmática contenga como contenido la superación del individualismo y la construcción hegemónica y heteronormada de familia. \nLa tradición jurídica, desde el Código Civil en 1855, caracterizaron a la familia como un dispositivo para la reproducción biológica e ideológica de la moral cristiana y el Estado sanitario. \nEn atención a esto, el contenido de la nueva norma debiera centrar su enfoque en dos elementos: el reconocimiento de las comunidades y el reconocimiento de la diversidad de familias y de fines que pueden tener éstas, por un lado, y a la garantía del libre desarrollo de las personas en tanto son parte de distintos tipos de comunidades diversas.\n\nReseña sobre quién o quiénes proponen y la historia de la elaboración de la iniciativa\n\nDisidencias Unidas Recomponiendo Alianzas Sexopolíticas (D.U.R.A.S.) es una articulación de más de 42 organizaciones, colectivos y movimientos LGBTIQ+ de 9 regiones del país más 76 personas autocoonvocadas con el objetivo de incidir en la Convención Constitucional y su misión de redactar una nueva Constitución Política de la República que incorpore perspectivas de género transfeministas, que visibilice a las comunidades LGBTIQA(NB)+ y promueva su inclusión y no discriminación en el ejercicio de sus derechos.\nLa elaboración de esta propuesta se hizo de manera ampliamente articulada teniendo como elemento rector, responder a las problemáticas en torno a las vejaciones y ejercicio de derechos que hemos tenido históricamente como población. En concreto generamos instancias de trabajo donde como representantes de los movimientos que componen DURAS, más el apoyo técnico de al menos 10 abogades con vasta experiencia en temas de diversidad y derechos, pudimos llegar a la síntesis del articulado que acá les presentamos. No está demás mencionar que nuestra propuesta pasó por varias instancias de observación tanto de profesionales del derecho, como por otres profesionales, personas comunes y corrientes,\nasesores constituyentes y convencionales constituyentes.\n\nArticulado de la Iniciativa Popular de Norma\n\nArtículo X: Es deber del Estado reconocer a las comunidades, dentro de éstas, las diversas manifestaciones y formas de familia que lo integran, no restringiéndose a los lazos consanguíneos y filiativos que ellas tengan.\n\nEl Estado protege y respeta a estas comunidades, y garantiza las condiciones necesarias para que éstas puedan desarrollarse, respetando los derechos y principios reconocidos en esta Constitución.\n\n"
418_pop_pop,"\n\nSituación Ideal\n\nProtección ambiental, desarrollo sostenible, cambio climático, resguardo de la biodiversidad y fin a las zonas de sacrificio\n\nQue se consagre en la Constitución como tema de Estado el desarrollo sostenible y el deber de todas las personas de proteger el medio ambiente\nDel mismo modo, establecer la necesidad de una institucionalidad que monitoree eficazmente los efectos del cambio climático.\nY que se consagre un deber claro para el Estado de adoptar las medidas necesarias para poner término a las zonas de sacrificio\n\nQué debe contemplar la nueva constitución\n\nDebe incluir el deber del Estado de velar por la protección del medio ambiente, asegurando a las personas el derecho a vivir en un entorno sano y libre de contaminación\nDebe también incorporarse la obligación de una nueva institucionalidad ambiental que estudie y monitoree los efectos del cambio climático en nuestro país. \nSe debe consagrar el deber del Estado de establecer los instrumentos adecuados de gestión para propender a un desarrollo sostenible y de adoptar de forma urgente las medidas necesarias para mejorar las condiciones ambientales de las distintas zonas de sacrificio que se han generado en nuestro país.\n\nArgumentos para respaldar la propuesta\n\nA través de esta disposición: \na- Se define desarrollo sostenible, colocando al centro de sus preocupaciones a las personas, tal como se define en el primer principio de la Cumbre de Río y estableciendo como inspiración el principio de la responsabilidad o solidaridad intergeneracional. A través de esta definición, se genera un verdadero estatuto de los recursos naturales, en que una de sus características esenciales es la razonabilidad en el uso de los mismos. A través de ella se diferencia la utilización racional entre los recursos naturales renovables y los no renovables, por sus obvias implicancias en relación con el consumo de estos en el caso de los no renovables y la necesidad, por tanto, de su transformación en conocimiento e infraestructura. \n b- La incorporación de la sostenibilidad ha de inspirar a las distintas garantías constitucionales, las cuales han de desarrollar sus aspectos específicos, ya sea desde el punto de vista ambiental, social o económico.\nAsí, se introducen las lógicas de las tres dimensiones del desarrollo sostenible y su necesaria gestión y tutela a través de instrumentos adecuados, estableciendo de esta forma una primera gran articulación entre las distintas garantías constitucionales y sus eventuales tensiones, incorporando a nivel constitucional los dos pilares fundamentales que soportan el bien jurídico protegido ambiental (gestión y tutela). \n c- Dentro de los deberes generales del Estado, y por un sentido de coherencia constitucional, resulta necesario darle un valor intrínseco a la naturaleza, desligado de la garantía de las personas en temas ambientales. Es por ello que se genera este deber general del Estado, el cual permite la protección directa de la naturaleza, mismo objetivo de aquellos que propugnan los ""derechos de la naturaleza"", pero sin las consecuencias jurídicas de establecer un listado paralelo de derechos que pudieran entra en conflicto con los derechos de las personas y utilizando una terminología lo suficien\n\nReseña sobre quién o quiénes proponen y la historia de la elaboración de la iniciativa\n\nLa Libre y Sustentable República de Chile es una organización ciudadana digital creada el 21 de septiembre de 2021 por un grupo de jóvenes y ciudadanos comprometidos para promover los valores de una República de Chile más libre y sustentable. El 29 de octubre ya habíamos alcanzado 15 mil firmas y hoy 26 de noviembre, 20 mil firmas digitales. Queremos presentar 7 iniciativas y juntar ahora las firmas en esta plataforma para que sean tramitadas en el proceso constituyente como iniciativas populares\n\nArticulado de la Iniciativa Popular de Norma\n\nEs deber del Estado velar por la protección del medio ambiente, asegurando a las personas el derecho a vivir en un entorno sano y libre de contaminación, que garantice la estabilidad climática, a través de una institucionalidad ambiental que estudie y monitoree los efectos del cambio climático en nuestro país.\nAsimismo, el Estado debe establecer los instrumentos adecuados de gestión para propender a un desarrollo sostenible, permitiendo un crecimiento económico que garantice la satisfacción de las necesidades de las generaciones actuales sin poner en riesgo a las generaciones futuras, y adoptando de forma urgente las medidas necesarias para mejorar las condiciones ambientales de las distintas zonas de sacrificio que se han generado en nuestro país. Las personas deben contribuir a la protección del medio ambiente y a la conservación de la biodiversidad\n\n"
