,doc_url,name,bulletin,topic,commission
324_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-77-40230.pdf,"Iniciativa Popular Constituyente sobre Naturaleza Jurídica del Agua y su institucionalidad, derecho humano al agua y al saneamiento, derechos de la naturaleza y criósfera y glaciares (40230)",Boletín 77-5 Popular,Naturaleza Jurídica del agua,Comisión sobre Medio Ambiente
326_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-75-9638.pdf,Iniciativa popular Constituyente que consagra el derecho al cuidado (9638),Boletín 75-4 Popular,Derecho al cuidado,Comisión de Derechos Fundamentales
328_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-73-19350.pdf,"Iniciativa Popular Constituyente que reconoce el derecho a un medio ambiente sano, y a la naturaleza como titular de derechos (19350)",Boletín 73-5 Popular,Derecho a medio ambiente sano,Comisión sobre Medio Ambiente
330_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-71-8082.pdf,Iniciativa Popular Constituyente que consagra derechos de personas con discapacidad (8082),Boletín 71-4 Popular,Derechos personas con discapacidad,Comisión de Derechos Fundamentales
323_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-78-13394.pdf,Iniciativa Popular Constituyente que consagra la protección de los animales como seres sintientes y su tenencia en relación con las culturas (13394),Boletín 78-5 Popular,Protección de los animales,Comisión sobre Medio Ambiente
325_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-76-45166.pdf,Iniciativa Popular Constituyente sobre derecho a la salud sexual y reproductiva y sus alcances (45166),Boletín 76-4 Popular,Derecho a la salud sexual,Comisión de Derechos Fundamentales
327_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-74-47446.pdf,Iniciativa popular Constituyente que incorpora la figura del derecho cultural y a la educación artística y musical (47446),Boletín 74-7 Popular,Derecho cultural,Comisión sobre Sistemas de Conocimientos
329_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-72-14698.pdf,Iniciativa Popular Constituyente que consagra derecho a la eutanasia (14698),Boletín 72-4 Popular,Eutanasia,Comisión de Derechos Fundamentales
332_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-69-48926.pdf,Iniciativa Popular Constituyente que consagra el derecho a ejercer la objeción de conciencia (48926),Boletín 69-4 Popular,Objeción de conciencia,Comisión de Derechos Fundamentales
334_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-67-17046.pdf,"Iniciativa Popular Constituyente que garantiza el derecho a la alimentación y soberanía alimentaria, y proteger la agricultura campesina e indígena, la pesca artesanal y la recolección artesanal (17046)",Boletín 67-4 Popular,Derecho a la alimentación y soberanía alimentaria,Comisión de Derechos Fundamentales
